year,population,births,deaths,marriages,divorces,median_age,sex_ratio
0,1000,0,0,0,0,50.0,0.3333333333333333
1,658,0,342,226,0,41.0,0.3292929292929293
2,465,0,193,43,37,35.0,0.35964912280701755
3,385,26,106,32,20,33.0,0.42592592592592593
4,321,27,91,23,12,32.0,0.5070422535211268
5,267,28,82,20,16,30.0,0.5344827586206896
6,222,11,56,18,7,30.0,0.5857142857142857
7,187,7,42,19,8,29.0,0.5982905982905983
8,153,8,42,12,8,30.0,0.5773195876288659
9,127,5,31,11,6,30.0,0.6282051282051282
10,109,4,22,11,4,29.0,0.6515151515151515
