year,age_range,males,females
0,0-4,16,19
0,5-9,22,28
0,10-14,27,32
0,15-19,23,17
0,20-24,25,20
0,25-29,20,26
0,30-34,22,25
0,35-39,22,28
0,40-44,22,23
0,45-49,24,25
0,50-54,28,32
0,55-59,21,22
0,60-64,29,22
0,65-69,20,25
0,70-74,23,19
0,75-79,31,17
0,80-84,21,24
0,85-89,29,30
0,90-99,70,49
0,100+,9,13
5,0-4,28,29
5,5-9,3,8
5,10-14,6,5
5,15-19,14,13
5,20-24,15,7
5,25-29,18,6
5,30-34,15,12
5,35-39,14,6
5,40-44,14,11
5,45-49,10,10
5,50-54,3,3
5,55-59,4,2
5,60-64,4,3
5,65-69,6,2
5,70-74,4,3
5,75-79,2,1
5,80-84,0,0
5,85-89,0,0
5,90-99,0,0
5,100+,0,1
10,0-4,8,6
10,5-9,11,7
10,10-14,0,0
10,15-19,3,2
10,20-24,7,5
10,25-29,12,2
10,30-34,7,4
10,35-39,11,3
10,40-44,11,2
10,45-49,8,4
10,50-54,1,2
10,55-59,0,1
10,60-64,0,1
10,65-69,0,1
10,70-74,0,0
10,75-79,0,1
10,80-84,0,0
10,85-89,0,0
10,90-99,0,0
10,100+,0,0
