year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean,males_se,females_se
0,2000.0,0.0,0.33333333333333337,2.4850204174189658e-18,50.996,0.04976868336300826,500.0,1500.0,0.0,0.0
1,1316.022,0.9327502764171729,0.3438436395388178,0.0005368987848804989,41.592,0.04740851331004312,336.644,979.378,0.4541177974357488,0.8039221440085194
2,942.726,1.0048169795164934,0.36519327682586594,0.0008352699676849512,37.172,0.04544185211726847,252.05,690.676,0.49896787258875847,0.8531951311767592
3,741.102,1.0343437174613201,0.40671150925938604,0.0012094505786976687,33.71,0.04972670802478246,214.116,526.986,0.5745548839138508,0.8101829427984788
4,618.846,1.0629922261925961,0.4596213933495195,0.0016328774582403535,30.806,0.0535767574408507,194.688,424.158,0.6319906140699756,0.7813315749796116
5,523.598,1.0825046996894288,0.5072636299832152,0.0020192442993584104,28.832,0.05525992506905229,175.986,347.612,0.6342366437225785,0.7867610169521563
6,441.736,1.0104209563434619,0.5463922393382986,0.0023907017596199046,27.734,0.058697348811637365,155.814,285.922,0.6029443521450111,0.7339353883746286
7,371.694,0.9548865611628319,0.5796953248897168,0.002789607425044214,27.28,0.06244195701603198,136.096,235.598,0.5685878580348065,0.691767212110767
8,310.686,0.9038765366946828,0.6110850831581587,0.0031927329883264404,27.308,0.06689710341180537,117.52,193.166,0.536831048981242,0.647025634998096
9,258.976,0.8039075710338415,0.6416745743622663,0.0037373691939805304,27.586,0.06921552989870348,100.902,158.074,0.5112607623652226,0.5625174662173603
10,216.528,0.743949833462861,0.6672065761139213,0.004201259078175794,28.03,0.07481573891621442,86.336,130.192,0.4757508652346762,0.5081601376051667
11,179.78,0.6795253559793318,0.6964513736083354,0.004769863340408508,28.526,0.07924144378307131,73.472,106.308,0.4363200457974965,0.4634045311809522
12,149.72,0.6022429685653231,0.7274106172165259,0.005438401955399076,29.186,0.08200156408890046,62.662,87.058,0.3829946236744415,0.42668183318902514
13,125.086,0.5525648050025036,0.7572712266005094,0.006154618969208728,29.916,0.08347349068593328,53.512,71.574,0.3548966261187345,0.3870771310873604
14,103.966,0.5013745514899649,0.7893175111709537,0.0070163053316296235,30.642,0.08691824643379692,45.436,58.53,0.31858248162005137,0.35495095486661454
15,86.842,0.4482453790500013,0.8219059395445341,0.008207825384256103,31.35,0.09085984273618398,38.724,48.118,0.2950623180670249,0.3193181488113706
16,72.466,0.40296706181251546,0.8590029312218457,0.009599713969128058,32.066,0.09228391323130247,33.034,39.432,0.28079776132571116,0.2788085731122373
17,60.544,0.3759611969915068,0.9056768565193267,0.011208532618566424,32.794,0.09721125478108089,28.318,32.226,0.2688388004012858,0.25097375091290836
18,50.702,0.34956943456080125,0.9521847518898756,0.012862505448994109,33.522,0.10564731283576896,24.262,26.44,0.2495420896542665,0.22855475175348727
19,42.67,0.3180133093596237,1.0027087783210435,0.01513930878534965,34.146,0.11311479972060094,20.854,21.816,0.2241737624065381,0.2117686944756468
20,35.742,0.30189593291168604,1.0674842372813658,0.018224731933131653,34.788,0.11785538504271725,17.904,17.838,0.21475989295780182,0.19701050296000236
21,30.032,0.2762001539646569,1.1357206831438007,0.022191394932264744,35.478,0.1288885429858917,15.32,14.712,0.19292911466798662,0.18514499544594057
22,25.38,0.24827904657852196,1.2105682637855408,0.026758165888696925,36.12,0.13529156520356492,13.192,12.188,0.17118668687584046,0.16928859754430312
23,21.186,0.22436462950729974,1.2966361492051122,0.03265854348299702,36.57,0.1611401013544706,11.264,9.922,0.15428615113763688,0.15424465899881043
24,17.758,0.20183246688622408,1.4115091938075683,0.040854994886919196,37.192,0.1753732692491483,9.668,8.09,0.14412875561938632,0.13626789011264356
25,14.75,0.18517986706532827,1.5857267121767122,0.05609995676411489,37.482,0.21280489620235568,8.244,6.506,0.13155813576579875,0.12368720649323517
26,12.364,0.16708933446328272,1.7021290431790432,0.06251051232163146,38.114,0.21499407644354204,7.022,5.342,0.12096403016263292,0.10959056612851645
27,10.278,0.14923126999354985,1.881409668109668,0.07495827122983198,38.414,0.2376513503615271,6.008,4.27,0.11001854462008048,0.10126553914751885
28,8.536,0.13313473519495528,1.9902563492063494,0.08117958275129537,38.516,0.26921448861783703,5.126,3.41,0.10249516338361565,0.08995545546511269
29,7.034,0.11622695647233322,1.8649984126984127,0.07715323561638147,38.612,0.31564882442474174,4.292,2.742,0.09129151264252948,0.07711527430452493
30,5.865461847389558,0.10689213647981977,1.7720572767259515,0.07663211140710875,38.993975903614455,0.34148979744891067,3.640562248995984,2.2248995983935744,0.08505772807762892,0.0690712593520022
31,4.786290322580645,0.09706819005976729,1.4762576804915513,0.06550596687531715,39.453629032258064,0.3551908368454096,3.032258064516129,1.7540322580645162,0.07598285804839965,0.0620069977697453
32,3.9715447154471546,0.08558831115815903,1.2454607046070463,0.06385554032524608,40.07113821138211,0.3525216033259871,2.5528455284552845,1.41869918699187,0.06922466166146497,0.05563579819502982
33,3.372670807453416,0.07762815304721578,1.082470669427191,0.060504519338916485,40.28364389233955,0.37615396238633303,2.2008281573498967,1.1718426501035197,0.06459943420457966,0.050031005911767894
34,2.878464818763326,0.07014829267720821,0.8918265813788202,0.05394494386356405,40.343283582089555,0.4025037099514971,1.9253731343283582,0.9530916844349681,0.05862570185444572,0.04441386420800605
35,2.423162583518931,0.06328449387634814,0.7516703786191536,0.05030360870495922,40.09576837416481,0.44117266672540884,1.6748329621380846,0.7483296213808464,0.0546391066379152,0.038396799168247155
36,2.123809523809524,0.05391597226046204,0.6273809523809524,0.048208658460466146,40.31666666666667,0.466205855156824,1.4976190476190476,0.6261904761904762,0.04925848721395353,0.03423974232268424
37,1.875,0.049586933564949934,0.4600340136054422,0.04233111318062795,39.954081632653065,0.4960908137623839,1.3571428571428572,0.5178571428571429,0.04751236374896581,0.03189016901975537
38,1.711111111111111,0.04637556403885866,0.3597222222222222,0.03851004565953325,40.08888888888889,0.5196923383616571,1.2472222222222222,0.4638888888888889,0.045452198730176696,0.03165830358651792
39,1.5692307692307692,0.04441155916843276,0.2671794871794872,0.03419971310490753,40.29846153846154,0.5497478419702027,1.156923076923077,0.4123076923076923,0.04601879576741889,0.03093214232141545
40,1.4591836734693877,0.042420195787258454,0.19671201814058958,0.03008825127823811,40.204081632653065,0.5533856642646927,1.0918367346938775,0.3673469387755102,0.04423018702700289,0.031656629127655156
41,1.3846153846153846,0.040331721764560645,0.15384615384615385,0.027613242241839905,40.55769230769231,0.5867072040326459,1.05,0.3346153846153846,0.04365775310296449,0.03267330288463159
42,1.323404255319149,0.03987187987537371,0.11914893617021277,0.027025622061535384,40.88085106382979,0.6043526401474221,1.025531914893617,0.2978723404255319,0.04509931424435136,0.03223756385321172
43,1.2619047619047619,0.03715664196708548,0.1,0.025660560061597816,40.5,0.5763727212355397,0.9714285714285714,0.2904761904761905,0.045240193737227694,0.03282164301482455
44,1.2216216216216216,0.036726157167010796,0.10270270270270271,0.028188892317326162,40.91891891891892,0.5955125912120754,0.9675675675675676,0.25405405405405407,0.04329462282560277,0.03209281645145383
45,1.1790123456790123,0.037053008850723955,0.09259259259259259,0.030087615273817182,41.648148148148145,0.6266744135989828,0.9382716049382716,0.24074074074074073,0.04351280104013836,0.03369433633668743
46,1.1619718309859155,0.03552947812969411,0.09154929577464789,0.0298247295344902,42.30281690140845,0.6634867801876234,0.9436619718309859,0.21830985915492956,0.040934357268276864,0.034789199488759213
47,1.146341463414634,0.03199969768047477,0.06504065040650407,0.022325895462591904,42.577235772357724,0.6529654445646073,0.9512195121951219,0.1951219512195122,0.04139004570978194,0.03587882330935555
48,1.1203703703703705,0.031457038543062525,0.06481481481481481,0.023800937426629202,42.69444444444444,0.691447322666793,0.9166666666666666,0.2037037037037037,0.04186091791394606,0.03893542518824849
49,1.1170212765957446,0.03333235978465083,0.05319148936170213,0.0232707659191606,43.40425531914894,0.7448932598986614,0.9468085106382979,0.1702127659574468,0.043751710171093756,0.03897067828847877
50,1.1066666666666667,0.035884365504878134,0.05333333333333334,0.026120533728893863,42.96,0.7042829079385743,0.9066666666666666,0.2,0.05084274761443351,0.046499055497527704
51,1.0476190476190477,0.027045801630812605,0.015873015873015872,0.015873015873015872,43.55555555555556,0.7473379202985203,0.873015873015873,0.1746031746031746,0.05302939263645627,0.04821271851032603
52,1.0392156862745099,0.02745098039215686,0.0196078431372549,0.019607843137254898,45.11764705882353,0.7606225823644523,0.8627450980392157,0.17647058823529413,0.05614831789520138,0.05391265523477459
53,1.0526315789473684,0.03670978065594293,0.02631578947368421,0.026315789473684213,44.8421052631579,0.7761801602957941,0.8947368421052632,0.15789473684210525,0.06299172069839126,0.05994682078436836
54,1.03125,0.03125,0.03125,0.03125,45.46875,0.8636760040196525,0.875,0.15625,0.059398870413936426,0.06521328221627366
55,1.0476190476190477,0.04761904761904763,0.047619047619047616,0.04761904761904763,46.61904761904762,1.0964796275791653,0.8571428571428571,0.19047619047619047,0.07824607964359516,0.08780518530755131
56,1.0,0.0,0.0,0.0,46.86666666666667,1.389986867586702,0.8666666666666667,0.13333333333333333,0.09085135251589957,0.09085135251589957
57,1.0,0.0,0.0,0.0,46.81818181818182,1.688561420091519,0.8181818181818182,0.18181818181818182,0.12196734422726126,0.12196734422726124
58,1.0,0.0,0.0,0.0,46.77777777777778,1.854257696475404,0.7777777777777778,0.2222222222222222,0.1469861839480328,0.1469861839480328
59,1.0,0.0,0.0,0.0,46.666666666666664,2.472066162365221,0.6666666666666666,0.3333333333333333,0.210818510677892,0.210818510677892
60,1.0,0.0,0.0,0.0,47.4,3.0099833886584824,0.6,0.4,0.24494897427831783,0.24494897427831783
61,1.0,0.0,0.0,0.0,48.75,3.8595120589698038,0.75,0.25,0.25,0.25
62,1.0,0.0,0.0,0.0,49.75,3.8595120589698038,0.75,0.25,0.25,0.25
63,1.0,0.0,0.0,0.0,50.666666666666664,5.456901847914968,0.6666666666666666,0.3333333333333333,0.33333333333333337,0.33333333333333337
64,1.0,0.0,0.0,0.0,51.666666666666664,5.456901847914968,0.6666666666666666,0.3333333333333333,0.33333333333333337,0.33333333333333337
65,1.0,0.0,0.0,0.0,52.666666666666664,5.456901847914968,0.6666666666666666,0.3333333333333333,0.33333333333333337,0.33333333333333337
66,1.0,0.0,0.0,0.0,52.0,9.0,0.5,0.5,0.5,0.5
67,1.0,0.0,0.0,0.0,53.0,9.0,0.5,0.5,0.5,0.5
68,1.0,0.0,0.0,0.0,54.0,9.0,0.5,0.5,0.5,0.5
69,1.0,0.0,0.0,0.0,55.0,9.0,0.5,0.5,0.5,0.5
70,1.0,0.0,0.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0,67.0,0.0,1.0,0.0,0.0,0.0
73,1.0,0.0,0.0,0.0,68.0,0.0,1.0,0.0,0.0,0.0
