year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean
0,1000.0,0.0,0.8181818181818176,2.982024500902759e-17,50.996,0.07218302277928731,450.0,550.0
1,662.302,0.6855315448598962,0.8445979927411599,0.0016900071615683302,41.486,0.0680357680302275,303.098,359.204
2,480.388,0.7101969243404856,0.8936319677030311,0.0027938938088221815,37.128,0.06841486085911998,226.432,253.956
3,382.756,0.735697920930679,0.9506762504006936,0.00341077167208934,33.938,0.0704715863946453,186.266,196.49
4,321.936,0.7359204888653826,1.0075041208229654,0.004388234474643859,31.304,0.07049188756463291,161.196,160.74
5,273.076,0.7686573464375819,1.05811267340629,0.005155306491572827,29.68,0.07203873373621052,139.992,133.084
6,231.764,0.7309974847051736,1.1107990827556795,0.005979894321854277,28.748,0.07831512316937302,121.552,110.212
7,196.552,0.6867531228202801,1.1561573937525829,0.007025081723492866,28.366,0.08545579785347245,104.92,91.632
8,165.508,0.6250770469544201,1.2083584031554486,0.00816913264684478,28.36,0.08982726688345527,90.084,75.424
9,139.57,0.5616200086073646,1.263814368546954,0.009802660624960874,28.7,0.09263456333706818,77.378,62.192
10,117.758,0.5220497523108076,1.3140331637861,0.011080503325029972,29.204,0.09354287004937442,66.288,51.47
11,99.204,0.48356223267096804,1.3803128872805894,0.012821688242728913,29.876,0.09857322842803441,56.916,42.288
12,83.204,0.44120073001790994,1.437522722801712,0.01506648738385952,30.532,0.10213135477048421,48.416,34.788
13,69.986,0.40527039886029764,1.5163185846430445,0.016967605801710098,31.306,0.10881364260806303,41.522,28.464
14,58.61,0.3578658070726281,1.6101576145702747,0.02092709395810397,32.088,0.11164874780207587,35.454,23.156
15,49.38,0.3400801508733435,1.720918189538069,0.02468494058836442,32.814,0.11500112398161187,30.486,18.894
16,41.494,0.3078074379180519,1.8344816557467747,0.028424479421258413,33.66,0.12344747286645534,26.132,15.362
17,34.974,0.28327219113166946,1.955288177255508,0.03427797367468815,34.412,0.1312973342454443,22.388,12.586
18,29.37,0.25357207574019336,2.112652196376035,0.045358922538228805,35.178,0.1425948757746729,19.128,10.242
19,24.76,0.22562493928298993,2.319805233002292,0.06428754165923393,35.91,0.15163702573959406,16.408,8.352
20,20.942,0.2058008259456697,2.523536433011433,0.07309422193547585,36.486,0.1489159491788562,14.152,6.79
21,17.678,0.1904025689862222,2.7405726884226884,0.09647652648254115,37.158,0.1542259488107405,12.04,5.638
22,14.896,0.1721791489078665,2.8582869019869017,0.09412697448683527,37.752,0.16119851712670213,10.226,4.67
23,12.494,0.16122007264496344,2.9232421855921853,0.10000717894836325,38.198,0.16979768699548894,8.52,3.974
24,10.624,0.149163492500645,2.9261212121212123,0.10279976906055459,38.864,0.1716914789028731,7.138,3.486
25,8.94,0.1397134198255798,2.8594349206349206,0.104701012764242,39.352,0.18867800820859626,5.86,3.08
26,7.478,0.12817132197005343,2.7940785714285714,0.10356363926486349,39.966,0.20261241714950823,4.822,2.656
27,6.266,0.11741405418535072,2.4396920634920636,0.09670135100929834,40.54,0.23337035682985485,3.768,2.498
28,5.269617706237424,0.10476941759531237,2.197139982753665,0.09555754654432104,41.31991951710262,0.24441357512047768,3.0,2.2696177062374248
29,4.455465587044534,0.09651268443596242,1.7639772508193559,0.08808655543536643,41.74291497975708,0.27583849806873395,2.299595141700405,2.1558704453441297
30,3.6987704918032787,0.08719085688409282,1.379122755659641,0.0765864908560541,42.24590163934426,0.2939603369253306,1.721311475409836,1.9774590163934427
31,3.186974789915966,0.07970420891401489,1.0549969987995198,0.06731238074953809,42.714285714285715,0.31024909637373693,1.281512605042017,1.9054621848739495
32,2.7224669603524227,0.07343359392148581,0.8033039647577093,0.05804272859635281,42.44493392070485,0.34946145130569256,0.9537444933920705,1.7687224669603525
33,2.3225058004640373,0.06421294825377483,0.652629543696829,0.054248995544082274,42.26218097447796,0.3924321429669971,0.7192575406032483,1.603248259860789
34,2.037313432835821,0.05447894183040499,0.44921227197346597,0.04276627877285351,42.91044776119403,0.43355246865449526,0.4925373134328358,1.544776119402985
35,1.801608579088472,0.050174752620100134,0.3371313672922252,0.03833558907819658,43.179624664879356,0.4672916405449224,0.3646112600536193,1.4369973190348526
36,1.5971014492753624,0.04543512260470355,0.23840579710144927,0.031858194921510256,43.03478260869565,0.5027358803840019,0.25507246376811593,1.3420289855072465
37,1.42,0.04021680375599018,0.15833333333333333,0.024925567382256073,43.233333333333334,0.5492435932371018,0.16333333333333333,1.2566666666666666
38,1.3740458015267176,0.0396202306662835,0.15267175572519084,0.025906153756919386,43.454198473282446,0.5786273451876104,0.15648854961832062,1.217557251908397
39,1.2914798206278026,0.0370763786361238,0.11210762331838565,0.023003791681509005,43.37219730941704,0.6256432495329483,0.11210762331838565,1.1793721973094171
40,1.2244897959183674,0.034738482115756676,0.08673469387755102,0.02141361517378923,43.433673469387756,0.6728676370689152,0.08673469387755102,1.1377551020408163
41,1.1377245508982037,0.02932047629284023,0.041916167664670656,0.015553871124117298,42.97604790419162,0.7294772663758474,0.041916167664670656,1.095808383233533
42,1.102189781021898,0.029821048375928187,0.021897810218978103,0.012549401241455973,43.160583941605836,0.7942089653890942,0.021897810218978103,1.0802919708029197
43,1.0775862068965518,0.030367222892976435,0.008620689655172414,0.008620689655172414,43.05172413793103,0.8411141347308991,0.008620689655172414,1.0689655172413792
