year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean
0,1000.0,0.0,0.33333333333333337,2.4850204174189658e-18,50.996,0.07218302277928731,250.0,750.0
1,659.048,0.6662636163057575,0.3438810816841463,0.0007856256089141256,41.654,0.06515411050910343,168.558,490.49
2,473.276,0.7130782630388034,0.3668349645000219,0.0012323437571438777,37.21,0.06850683449660691,126.86,346.416
3,373.226,0.7116422678810399,0.41068778363869884,0.001741590768994443,33.712,0.07051280814309162,108.464,264.762
4,310.53,0.7453491065139624,0.464025618178706,0.0022525143493056965,30.932,0.07585684228230229,98.216,212.314
5,262.208,0.7473999500740828,0.5141455624502064,0.002920341649257593,28.98,0.07947220686080546,88.782,173.426
6,221.436,0.7163953185951245,0.5576207392653973,0.0034922079236058747,27.838,0.07932273439805748,79.008,142.428
7,186.208,0.6757771982268168,0.5947777762485946,0.004065819557942106,27.384,0.08499138232868249,69.17,117.038
8,156.354,0.6214416686182139,0.6286255465559604,0.0045936891190277674,27.282,0.08875080512773754,60.07,96.284
9,130.686,0.567014831939411,0.6616574791569998,0.0052955229465582905,27.536,0.09262054378085091,51.73,78.956
10,109.148,0.5227837005829373,0.6881673142393208,0.005927514884637105,27.956,0.10103734502737272,44.182,64.966
11,91.014,0.4819087882165261,0.7178766309010352,0.006715054987515409,28.478,0.10801094726674196,37.718,53.296
12,75.87,0.4369898399739758,0.7539117967598283,0.007920443337803507,29.18,0.11486334129890484,32.248,43.622
13,63.488,0.4055967572095687,0.7893374749984804,0.008786649364902496,29.94,0.11807066258273244,27.628,35.86
14,52.894,0.3689305456247693,0.8284928856239249,0.009864581823228708,30.7,0.12407574130005557,23.58,29.314
15,44.138,0.32434597673664844,0.8642222449611395,0.011529524218160572,31.6,0.13088262115744048,20.076,24.062
16,36.988,0.2959711300441975,0.9192272946165311,0.014531757720051408,32.324,0.14195192389465805,17.276,19.712
17,30.834,0.26626807050553675,0.9732142762311351,0.018962230453701764,33.032,0.14220547385240545,14.696,16.138
18,25.932,0.24847178603800035,1.0396618667184807,0.024261676410400865,33.814,0.15568971248334393,12.678,13.254
19,21.734,0.2272041625123225,1.1052344890489627,0.025604515595333752,34.404,0.17107923371472303,10.868,10.866
20,18.176,0.20064537156451057,1.2029541514041513,0.03109584481969961,34.952,0.1817180092058557,9.304,8.872
21,15.29,0.1862503110244743,1.3358509851259852,0.040609908636081944,35.798,0.18639710233670218,8.044,7.246
22,12.758,0.16740047143204626,1.4596244699744703,0.04813563329431265,36.356,0.21607383878576145,6.898,5.86
