year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean,males_se,females_se
0,2000.0,0.0,0.14285714285714282,1.2425102087094829e-18,50.996,0.04976868336300826,250.0,1750.0,0.0,0.0
1,1311.05,0.9382919500705171,0.14741570977191917,0.0003267629320292108,41.666,0.048182269167446314,168.394,1142.656,0.34827592543912794,0.8760057649355971
2,931.376,0.9838196227460602,0.15615379268387805,0.0005057025052758942,37.198,0.0482726890178082,125.716,805.66,0.3756179784454718,0.9241021206873825
3,709.66,0.962637076099067,0.1759662686750208,0.0006744347653689527,34.472,0.04848849624949277,106.108,603.552,0.38305892533729213,0.8666375905918539
4,566.642,0.9628800277790539,0.20407569090880462,0.0009128956213981234,32.52,0.04890791314231134,95.952,470.69,0.4140752451152261,0.823037411763478
5,461.954,0.946140651417393,0.23320786858370826,0.001238342448122992,31.246,0.05146129156033801,87.244,374.71,0.44563450070257443,0.7870875514371032
6,379.554,0.8843859140046156,0.25808949309887,0.0015139455280227879,30.444,0.056249943219744226,77.746,301.808,0.4412713550839611,0.7105885900354556
7,313.188,0.8181761034597288,0.2812420440960549,0.0018611778369591184,30.048,0.058807385737120375,68.604,244.584,0.4365266073882734,0.6486226257395301
8,259.508,0.779458133554284,0.30259902837873853,0.002180029065567135,29.928,0.06265367479990192,60.094,199.414,0.40472451354437067,0.6331563645450687
9,214.54,0.7305862800691307,0.3239327918970532,0.0025450765038274826,30.012,0.06536250081679902,52.3,162.24,0.38698775050132544,0.5768242821735315
10,178.258,0.6740709274478918,0.34208088899280925,0.002893309095188799,30.262,0.06937100744076516,45.238,133.02,0.3602419471980492,0.5242870911130805
11,147.61,0.603061494652631,0.3594214287356592,0.0033619873100312306,30.644,0.07481793532899575,38.792,108.818,0.3326842792488377,0.4757545973227662
12,122.54,0.564366742144927,0.37454808985528637,0.0037773879403157178,31.088,0.08048271201859276,33.156,89.384,0.30721342447287797,0.43766675951546685
13,101.838,0.5123402160615425,0.39113211990299007,0.004213930087111293,31.716,0.08693562910115984,28.4,73.438,0.2797364920957222,0.3927452222742352
14,84.352,0.4552435451170521,0.41161149671840963,0.0047937210749976426,32.322,0.08820539884139485,24.356,59.996,0.25521127245318603,0.3479340227231833
15,69.894,0.411942862353127,0.42710004145778935,0.005563744142439459,32.908,0.0917382352545286,20.642,49.252,0.23639678271447667,0.31978354402636183
16,58.012,0.36703834444453515,0.44792178527531856,0.0062887371422936465,33.474,0.09710564872358383,17.682,40.33,0.21889170646307415,0.2785343115766007
17,47.906,0.3263976084434369,0.46840232946835436,0.006958352333267705,34.028,0.10281816546846476,14.994,32.912,0.19059007622200227,0.2534106270300904
18,39.728,0.3009471221671365,0.4900131480529588,0.007698869360265004,34.632,0.10646982505524553,12.792,26.936,0.17526810839293974,0.2269069887930432
19,33.208,0.27220150498966256,0.5192979262745547,0.008935956423696264,35.176,0.12039534075765683,11.04,22.168,0.15871730329340106,0.20918668729219017
20,27.938,0.25409730987511764,0.5506508983145016,0.011008306207623513,35.666,0.13108491335397082,9.572,18.366,0.15104721952108255,0.19045375624159547
21,23.062,0.23066583069649,0.5826363437877539,0.0120574650483673,36.31,0.1340736793819205,8.176,14.886,0.13994719874607617,0.1677924808603369
