male_population,population_final_mean,population_final_se,sex_ratio_final_mean,sex_ratio_final_se,avg_age_final_mean,avg_age_final_se,growth_rate_mean,growth_rate_se,males_final_mean,females_final_mean
200,1.084,0.019320172781453607,0.038,0.011949693750171651,42.264,0.638403832863855,-0.9994580000000003,9.660086390727531e-6,0.04,1.044
400,1.1,0.019838707044279754,0.06,0.01608211858408619,42.484,0.6482653529778419,-0.9994500000000002,9.919353522140816e-6,0.06,1.04
600,1.144,0.02560622414295863,0.07,0.019645451766258808,43.912,0.5703245605948167,-0.9994280000000002,1.2803112071480294e-5,0.072,1.072
800,1.112,0.020773786385808745,0.024,0.009699087026964264,44.62,0.628185376676248,-0.9994440000000002,1.0386893192905374e-5,0.024,1.088
1000,1.136,0.023155142896779564,0.026,0.011393650031670128,45.584,0.6035602005290365,-0.9994320000000002,1.1577571448390788e-5,0.028,1.108
1200,1.132,0.026780080111214237,0.032,0.014858908055250135,47.196,0.5503616335745465,-0.999434,1.3390040055607984e-5,0.032,1.1
1400,1.132,0.02491560050639714,0.028,0.011892422750453414,48.048,0.46440226296540543,-0.9994340000000002,1.2457800253199494e-5,0.028,1.104
1600,1.124,0.022371812442622332,0.016,0.009765112888178789,48.892,0.4404831958010799,-0.999438,1.1185906221312122e-5,0.016,1.108
1800,1.092,0.022273942490188506,0.0,0.0,50.528,0.3989605772111759,-0.9994540000000002,1.1136971245094732e-5,0.0,1.092
2000,1.152,0.02541984804633566,0.0,0.0,51.688,0.3819557366226561,-0.9994240000000003,1.2709924023168739e-5,0.0,1.152
