male_population,population_final_mean,population_final_se,sex_ratio_final_mean,sex_ratio_final_se,avg_age_final_mean,avg_age_final_se,growth_rate_mean,growth_rate_se,males_final_mean,females_final_mean,males_final_se,females_final_se
0,6.056,0.1556030373125266,0.0,0.0,41.756,0.2669511334130689,-0.996972,7.780151865626317e-5,0.0,6.056,0.0,0.1556030373125266
200,9.976,0.22286401566406283,0.6468625041625041,0.03254760859037348,38.852,0.27270838537495556,-0.9950120000000001,0.00011143200783203123,3.5,6.476,0.13101396350976546,0.16507785676819506
400,13.488,0.24799481792746297,1.296877922077922,0.06251852985515093,37.46,0.29977501603863493,-0.9932560000000001,0.00012399740896373154,6.932,6.556,0.17275671776847507,0.16813247788717658
600,16.06,0.2601235418567732,1.800234743034743,0.07858762400760039,38.192,0.23006142012104605,-0.99197,0.00013006177092838686,9.632,6.428,0.18774262481570553,0.16531357570766236
800,17.252,0.27533474332806995,2.799279653679654,0.11587246560266863,38.936,0.19639219837439906,-0.9913740000000002,0.0001376673716640351,11.952,5.3,0.2351253275993781,0.1440939006649322
1000,18.324,0.27333301988423603,3.918853102453103,0.2003147492610996,39.844,0.15308952154352598,-0.990838,0.000136666509942118,13.892,4.432,0.23170691915767677,0.14514050801989462
1200,19.956,0.3117644049225422,5.833860317460317,0.29689649042258803,40.132,0.13945643185433282,-0.990022,0.00015588220246127125,16.332,3.624,0.2869432867296198,0.1198832095655725
1400,20.304,0.2821858455089881,7.702338095238094,0.35155036487183106,40.852,0.13119922617070257,-0.9898480000000001,0.00014109292275449407,17.56,2.744,0.2598609452060342,0.09765244492586961
1600,22.18,0.3117227683974165,10.808361904761904,0.5051299832530635,40.988,0.12553269626406222,-0.9889100000000001,0.00015586138419870825,20.452,1.728,0.29283063899211464,0.0830642079996096
1800,23.712,0.3218736313184921,10.771333333333335,0.6680435593832023,41.4,0.12143717697561662,-0.9881440000000001,0.0001609368156592463,22.816,0.896,0.3167996592428495,0.058809610448671557
2000,23.784,0.29763015781901786,0.0,0.0,41.652,0.10685154660578478,-0.9881080000000001,0.00014881507890950898,23.784,0.0,0.29763015781901786,0.0
