year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean
0,1000.0,0.0,3.0,0.0,50.996,0.07218302277928731,750.0,250.0
1,668.666,0.6592861324256847,3.0925001571340576,0.00736307937560442,41.34,0.06854339058425377,505.01,163.656
2,492.904,0.7022876789236275,3.2722128542218742,0.011080345942506847,37.246,0.06690231565259425,377.124,115.78
3,390.076,0.7055324230678559,3.3822409756812006,0.015108382936251786,34.712,0.06913516719214159,300.518,89.558
4,321.728,0.7142775488797525,3.4057833080470847,0.017686898445952344,33.084,0.07011219179912832,248.1,73.628
5,269.314,0.7013005439223697,3.440822292546917,0.020703878509531565,32.136,0.06873468494019344,207.98,61.334
6,227.378,0.6741536904866677,3.5095425143030994,0.024203903108295538,31.736,0.07287818919897668,176.202,51.176
7,192.476,0.6324577880834535,3.628503247630089,0.0290167099601097,31.588,0.07493826450468377,150.084,42.392
8,163.112,0.5722848345568206,3.7668700322800737,0.034151604948624494,31.732,0.0779519403864974,128.062,35.05
9,138.208,0.5244344907327705,3.9689752329953563,0.04072265753712,32.082,0.08121418279447223,109.548,28.66
10,117.434,0.49234957520893297,4.182016795905783,0.04691803110229617,32.44,0.0852016351795818,93.912,23.522
11,100.022,0.45426836947228233,4.50341095005574,0.06077169484387683,33.026,0.08801215984488235,80.862,19.16
12,85.14,0.42185866052377996,4.808195299805151,0.0716647321780016,33.622,0.08866767117627283,69.49,15.65
13,72.904,0.39335865321627306,5.180352245099467,0.09926071640069078,34.152,0.0910954926302894,60.018,12.886
14,61.908,0.3618908702965688,5.702022527223378,0.12124830372804653,34.788,0.0917766741379947,51.596,10.312
15,52.512,0.3436858331438868,6.350594638368168,0.1599777532180953,35.396,0.09491251113282738,44.178,8.334
16,44.712,0.3162564596914871,7.124459096459097,0.22235326470979355,36.04,0.09707547215743621,37.994,6.718
17,38.182,0.2908107525308773,7.792908996558998,0.26499095891058494,36.618,0.10101762777973203,32.538,5.644
18,32.468,0.2674191054429579,8.262729365079366,0.26468182554689856,37.228,0.10270895900806824,27.664,4.804
19,27.59,0.24467843196763436,8.789295526695529,0.2853311276250717,37.86,0.10676890557834143,23.438,4.152
20,23.532,0.22209142532390755,9.100886507936508,0.2957660955389563,38.412,0.10538845027279697,19.758,3.774
21,20.208,0.20367729594081793,8.591099999999999,0.28463609932489964,39.012,0.11493533949368688,16.124,4.084
22,17.18,0.18895133026898975,7.539423809523809,0.2700329799368373,39.468,0.11605554609564815,12.758,4.422
23,14.562,0.17146168732530565,6.493766666666667,0.24570834047581896,40.11,0.11661474176103115,10.034,4.528
24,12.428,0.16385153845266942,5.435433333333333,0.21845743453503588,40.644,0.12397284595049891,7.828,4.6
25,10.508,0.1477549832328517,4.3352,0.19826829268721596,41.238,0.13911656564793193,5.81,4.698
26,8.892,0.13613867738066915,3.473533333333333,0.17372314707056352,41.722,0.13844770686100272,4.4,4.492
27,7.438,0.12446402929834127,2.7163333333333335,0.14839004567610306,42.206,0.1456349789514469,3.252,4.186
28,6.188376753507014,0.11499743915175695,2.029225116900468,0.12716699452664515,42.82364729458918,0.15385631304551217,2.3266533066132267,3.8617234468937878
29,5.282258064516129,0.10472084007372531,1.4136424731182797,0.10454806179726757,43.42741935483871,0.1710254456682988,1.6028225806451613,3.6794354838709675
30,4.455465587044534,0.0947089676296275,1.013157894736842,0.0848177466917572,43.92914979757085,0.20300402476547483,1.1234817813765183,3.331983805668016
31,3.6872427983539096,0.08413351110848756,0.6917009602194787,0.06488617226851219,44.29835390946502,0.21702336664605906,0.7695473251028807,2.9176954732510287
32,3.0545073375262053,0.07510021284488902,0.5062893081761006,0.05546444526221551,44.702306079664574,0.2567871519728351,0.5408805031446541,2.5136268343815513
33,2.5827956989247314,0.06763738835333677,0.3548387096774194,0.04308137509381712,45.27311827956989,0.2664526333756995,0.3827956989247312,2.2
34,2.2455357142857144,0.06156382073906838,0.23102678571428573,0.03398845338111033,45.265625,0.30923220029011983,0.25223214285714285,1.9933035714285714
35,2.0049875311720697,0.054474937895453955,0.17747298420615126,0.030331119848535915,45.81296758104738,0.3416529842537487,0.18703241895261846,1.8179551122194513
36,1.7777777777777777,0.05024100245133694,0.125,0.024704223710586018,46.17777777777778,0.3705189529674079,0.13055555555555556,1.6472222222222221
37,1.580128205128205,0.04761575613613688,0.09134615384615384,0.02120888757349442,46.38782051282051,0.4245349955721696,0.09615384615384616,1.483974358974359
