year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean,males_se,females_se
0,2000.0,0.0,0.1764705882352941,1.2425102087094829e-18,50.996,0.04976868336300826,300.0,1700.0,0.0,0.0
1,1312.436,0.9341633316826994,0.18152124701883227,0.00035579062213727587,41.65,0.04711092100304888,201.584,1110.852,0.3636238890190394,0.8586680462362941
2,933.422,1.0369485795898592,0.19273027606100854,0.0005442370644211369,37.2,0.04582794344940218,150.732,782.69,0.38168536707460743,0.9665320317178697
3,715.148,0.9897694069620033,0.21754433263363732,0.0007960804512063334,34.322,0.04682967046725978,127.668,587.48,0.4319916498859002,0.8803733950030854
4,576.19,0.9562345785100415,0.25061172931949804,0.00109280983705819,32.232,0.05193984496501678,115.316,460.874,0.46031300669029174,0.8350418179201272
5,473.108,0.9633736812366211,0.2836243199675874,0.0013943567764487027,30.798,0.05396495559959011,104.392,368.716,0.4831475293014964,0.785718394076134
6,392.228,0.9551044345839483,0.31488687914511626,0.0016584730731094034,29.822,0.05729920066452574,93.796,298.432,0.4784041273003778,0.7386568756600862
7,325.92,0.8728567797272538,0.3418216031875474,0.0020158357526523243,29.36,0.060432641911609575,82.842,243.078,0.45723977125446297,0.6857085564938633
8,271.522,0.8241659608732481,0.3658346574481337,0.0024628100816314878,29.21,0.06321227399141982,72.51,199.012,0.4532180636586023,0.6376369450929699
9,225.628,0.7595452916714054,0.3891536564016638,0.0028585582942360003,29.38,0.06735185628540745,62.964,162.664,0.4233625866317417,0.5878787381949131
10,187.074,0.6799394703697774,0.40849624531022233,0.003206022160577508,29.734,0.06858495309893538,54.002,133.072,0.3846399456316921,0.5252937264026633
11,155.91,0.6096976812528074,0.42892629266102233,0.0036115111013732167,30.102,0.07223314512402888,46.562,109.348,0.35690204558153,0.4586267206976451
12,129.728,0.5559480086993328,0.4476892407281115,0.003967245163854068,30.618,0.07907374605157681,39.878,89.85,0.32054286367802637,0.4177223766665318
13,107.452,0.5150008191133045,0.46801916341777144,0.004689359982557691,31.18,0.08412701533644727,33.974,73.478,0.30125097892722147,0.39067670595666987
14,89.282,0.47561472931510757,0.4881858496811453,0.0051268074739419505,31.802,0.08902495653338754,29.002,60.28,0.26826091746596137,0.3599755057354027
15,74.098,0.44186795151170033,0.5091101795068991,0.005759379797009271,32.41,0.09280639014693012,24.72,49.378,0.24695987195638366,0.3256413926902821
16,61.414,0.3969285989006719,0.5321772539787405,0.006806992794724361,33.21,0.10083717703577927,20.998,40.416,0.22521419775347087,0.297978977348879
17,51.252,0.36340765298007827,0.5565752321914563,0.007628385848104694,33.802,0.10843019050257566,17.99,33.262,0.2073687623708413,0.27013451707367797
18,42.612,0.3334565917734936,0.5807842666761194,0.008852428209054174,34.382,0.1159095425065951,15.316,27.296,0.19666632473957796,0.24203704646960028
19,35.506,0.30174497188207167,0.6140660685112391,0.01011198879233611,34.95,0.1254051550208827,13.166,22.34,0.17907826795036916,0.21721686475194626
20,29.738,0.27214488361045974,0.6550761860988451,0.012229417925188392,35.402,0.14305846164031608,11.378,18.36,0.166317633190893,0.19783598802117025
21,24.826,0.25730109932027656,0.6983161874022091,0.014735011489070539,35.916,0.14788383026723717,9.774,15.052,0.15594385197865246,0.18347183934234518
22,20.78,0.23229964755140073,0.7486452706352739,0.017756241700296316,36.47,0.1532356431273393,8.416,12.364,0.14447017430087447,0.16384351496104316
