male_population,population_final_mean,population_final_se,sex_ratio_final_mean,sex_ratio_final_se,avg_age_final_mean,avg_age_final_se,growth_rate_mean,growth_rate_se,males_final_mean,females_final_mean
200,9.976,0.22286401566406283,0.6468625041625041,0.03254760859037348,38.852,0.27270838537495556,-0.9950120000000001,0.00011143200783203123,3.5,6.476
400,13.488,0.24799481792746297,1.296877922077922,0.06251852985515093,37.46,0.29977501603863493,-0.9932560000000001,0.00012399740896373154,6.932,6.556
600,16.06,0.2601235418567732,1.800234743034743,0.07858762400760039,38.192,0.23006142012104605,-0.99197,0.00013006177092838686,9.58,6.48
800,17.252,0.27533474332806995,2.799279653679654,0.11587246560266863,38.936,0.19639219837439906,-0.9913740000000002,0.0001376673716640351,11.952,5.3
1000,18.324,0.27333301988423603,3.918853102453103,0.2003147492610996,39.844,0.15308952154352598,-0.990838,0.000136666509942118,13.448,4.876
1200,19.956,0.3117644049225422,5.833860317460317,0.29689649042258803,40.132,0.13945643185433282,-0.990022,0.00015588220246127125,15.868,4.088
1400,20.304,0.2821858455089881,7.702338095238094,0.35155036487183106,40.852,0.13119922617070257,-0.9898480000000001,0.00014109292275449407,16.7,3.604
1600,22.18,0.3117227683974165,10.808361904761904,0.5051299832530635,40.988,0.12553269626406222,-0.9889100000000001,0.00015586138419870825,17.164,5.016
1800,23.712,0.3218736313184921,10.771333333333335,0.6680435593832023,41.4,0.12143717697561662,-0.9881440000000001,0.0001609368156592463,13.62,10.092
2000,23.784,0.29763015781901786,0.0,0.0,41.652,0.10685154660578478,-0.9881080000000001,0.00014881507890950898,0.0,23.784
