year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean,males_se,females_se
0,2000.0,0.0,1.0008863253329108,0.002045433261053892,51.016,0.05250716145449129,999.922,1000.078,1.0218376271563623,1.0218376271563623
1,1325.506,0.9682266540988295,1.030147154286659,0.0025880743471767527,41.498,0.050448807362797554,672.056,653.45,0.9421214963196919,0.9721157431273666
2,963.788,1.0436476958370826,1.0893272740484239,0.003110211006536336,37.13,0.04790396204029804,501.978,461.81,0.8531604758749612,0.8600623317114043
3,763.86,1.0741267600209885,1.1510352597933347,0.003671706654850904,34.188,0.05113258337072682,408.216,355.644,0.8024927895967099,0.7992948595762958
4,636.988,1.105036616518971,1.2078549513335686,0.004257919483405998,31.802,0.05324718325930584,347.898,289.09,0.774378794282274,0.7806039232350424
5,537.976,1.055307631163911,1.2623131270790184,0.004741068890973277,30.328,0.0560635196582675,299.634,238.342,0.7429185311242243,0.6989098812036415
6,455.372,1.0200569908240706,1.3147400524105575,0.005211261309918661,29.466,0.06014085004127706,258.158,197.214,0.7249089998863529,0.6208020605610083
7,384.236,0.9508779868583473,1.3725508981811498,0.006077068543869823,29.268,0.06254739285298316,221.734,162.502,0.6633479849205817,0.590875841883083
8,324.888,0.8934043062964371,1.4310954254487458,0.007162776229127379,29.326,0.06523771853643931,190.658,134.23,0.6395844028874013,0.5471461759674022
9,274.244,0.8266023656764381,1.4914246509170785,0.008144363654152274,29.596,0.06813848917766542,163.588,110.656,0.6015981654770989,0.4887710325341395
10,231.456,0.7686649592893371,1.559996964492629,0.009074796279300907,30.098,0.067897069333279,140.476,90.98,0.5630816725306195,0.44217444122534477
11,195.284,0.7011747142901831,1.6286815359853546,0.010432509843343325,30.658,0.07362685534270295,120.432,74.852,0.5243669262517358,0.3925307028824762
12,164.73,0.6297900213101854,1.708889182912936,0.012571613364145548,31.236,0.07361689272026885,103.284,61.446,0.47617241450620945,0.3618010059906851
13,139.136,0.568578553185296,1.7888432761376114,0.014030547518411369,31.93,0.07724074225775579,88.608,50.528,0.42290704977038507,0.3280513181419476
