year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean,males_se,females_se
0,2000.0,0.0,0.0,0.0,52.0,0.0,0.0,2000.0,0.0,0.0
1,1341.0,0.0,0.0,0.0,41.0,0.0,0.0,1341.0,0.0,0.0
2,1016.0,0.0,0.0,0.0,38.0,0.0,0.0,1016.0,0.0,0.0
3,797.0,0.0,0.0,0.0,35.0,0.0,0.0,797.0,0.0,0.0
4,640.0,0.0,0.0,0.0,35.0,0.0,0.0,640.0,0.0,0.0
5,538.0,0.0,0.0,0.0,35.0,0.0,0.0,538.0,0.0,0.0
6,443.0,0.0,0.0,0.0,35.0,0.0,0.0,443.0,0.0,0.0
7,379.0,0.0,0.0,0.0,36.0,0.0,0.0,379.0,0.0,0.0
8,313.0,0.0,0.0,0.0,35.0,0.0,0.0,313.0,0.0,0.0
9,262.0,0.0,0.0,0.0,35.0,0.0,0.0,262.0,0.0,0.0
10,234.0,0.0,0.0,0.0,35.0,0.0,0.0,234.0,0.0,0.0
11,187.0,0.0,0.0,0.0,35.0,0.0,0.0,187.0,0.0,0.0
12,161.0,0.0,0.0,0.0,35.0,0.0,0.0,161.0,0.0,0.0
13,147.0,0.0,0.0,0.0,34.0,0.0,0.0,147.0,0.0,0.0
14,126.0,0.0,0.0,0.0,35.0,0.0,0.0,126.0,0.0,0.0
15,110.0,0.0,0.0,0.0,36.0,0.0,0.0,110.0,0.0,0.0
16,94.0,0.0,0.0,0.0,37.0,0.0,0.0,94.0,0.0,0.0
17,79.0,0.0,0.0,0.0,37.0,0.0,0.0,79.0,0.0,0.0
18,64.0,0.0,0.0,0.0,38.0,0.0,0.0,64.0,0.0,0.0
19,60.0,0.0,0.0,0.0,39.0,0.0,0.0,60.0,0.0,0.0
20,52.0,0.0,0.0,0.0,40.0,0.0,0.0,52.0,0.0,0.0
21,42.0,0.0,0.0,0.0,39.0,0.0,0.0,42.0,0.0,0.0
22,37.0,0.0,0.0,0.0,39.0,0.0,0.0,37.0,0.0,0.0
23,31.0,0.0,0.0,0.0,39.0,0.0,0.0,31.0,0.0,0.0
24,25.0,0.0,0.0,0.0,38.0,0.0,0.0,25.0,0.0,0.0
25,19.0,0.0,0.0,0.0,39.0,0.0,0.0,19.0,0.0,0.0
