year,population_mean,population_se,sex_ratio_mean,sex_ratio_se,avg_age_mean,avg_age_se,males_mean,females_mean
0,1000.0,0.0,1.0,0.0,50.996,0.07218302277928731,500.0,500.0
1,663.87,0.6603956729792977,1.032649202197336,0.0020692106096184036,41.508,0.06630735502688465,337.096,326.774
2,483.13,0.7318534134904854,1.0950434615013425,0.003285828526123214,37.266,0.06788006634361539,252.23,230.9
3,384.976,0.7402477838961263,1.1590231576208758,0.004241960342901291,34.034,0.07280308082186018,206.314,178.662
4,323.244,0.7287627310973531,1.2094533043283233,0.00519399064433758,31.548,0.07737807656866987,176.54,146.704
5,274.432,0.7105748272844604,1.2610304390462024,0.006252684474263406,29.962,0.07938334479512515,152.604,121.828
6,232.926,0.6616075097775025,1.3124516967665134,0.0071243598998287205,29.062,0.08095318917544476,131.746,101.18
7,196.58,0.6585457957729747,1.3743153259851093,0.00880738661937337,28.786,0.08127496071039932,113.234,83.346
8,166.384,0.6041614934936195,1.43438078335413,0.010186517003449788,28.83,0.08574908636028288,97.488,68.896
9,140.94,0.5719221887459516,1.4903663552659614,0.011862437895126407,29.066,0.08964016241303263,83.774,57.166
10,118.986,0.5552984068420173,1.5519941223171858,0.013773623023840867,29.55,0.09108013604713557,71.75,47.236
11,100.154,0.5014493702677109,1.6279300456362409,0.016167468991613886,30.13,0.09331460352196179,61.362,38.792
12,84.438,0.45523927510177586,1.7142737851008485,0.01944147798809992,30.758,0.09758030452741642,52.59,31.848
13,71.15,0.41234336918182213,1.8114474413575632,0.023057944513689525,31.524,0.10252741947151,45.062,26.088
14,60.22,0.3786051819079277,1.9023419803953572,0.025543176903837606,32.298,0.10703880891165808,38.69,21.53
15,50.48,0.347027457288648,2.041441010278511,0.03274165851442284,33.072,0.10850427805719659,32.994,17.486
16,42.516,0.31302309005857637,2.2160600154262116,0.052601168910559826,33.896,0.11347299344108698,28.216,14.3
17,35.704,0.27708901935893926,2.382939761196014,0.056108020491119404,34.728,0.12033700174084425,24.152,11.552
18,30.08,0.2510483031231281,2.6179229716963466,0.0778671840052096,35.424,0.12595307202567713,20.668,9.412
19,25.388,0.23260077006852953,2.775633166180225,0.07924593813596599,36.124,0.12237319312984189,17.636,7.752
20,21.326,0.2117004538595245,3.0343652870521285,0.0955164396334776,36.892,0.12891046433719516,15.0,6.326
21,18.136,0.1926999599094359,3.127430935730936,0.09154547099028752,37.532,0.13752009144522193,12.834,5.302
22,15.248,0.17491192172268144,3.434054773004773,0.11520076732328602,38.226,0.13904140759519124,10.892,4.356
23,13.06,0.15819877909584143,3.4902559884559885,0.12254509303691108,38.84,0.15316566011635166,9.238,3.822
24,10.932,0.1456887174931869,3.399454473304473,0.11957391625862916,39.402,0.16890782013692207,7.586,3.346
25,9.182,0.1351972951550232,3.19417380952381,0.11521331568302833,39.826,0.17995615141713195,6.132,3.05
26,7.842,0.125927707734042,3.0944261904761907,0.11775120333568043,40.482,0.1971219575092144,5.07,2.772
27,6.616,0.11389043006381284,2.858214285714286,0.11077944869426311,41.154,0.21369112239768684,4.114,2.502
28,5.491935483870968,0.10509905764230215,2.1025201612903226,0.096296597157438,41.66129032258065,0.2336464242674424,2.941532258064516,2.5504032258064515
29,4.632323232323232,0.09573326702488084,1.695084175084175,0.08711396384923613,42.22828282828283,0.26356933311813885,2.2545454545454544,2.3777777777777778
30,3.8676171079429733,0.08519860178298813,1.2386625933469109,0.07449158486534224,42.96334012219959,0.27219498951374393,1.5885947046843176,2.2790224032586557
31,3.30672268907563,0.07673162381796389,0.9734243697478993,0.06502938193058443,43.13865546218487,0.3052021954296399,1.1932773109243697,2.1134453781512605
32,2.8153846153846156,0.06924555951590193,0.742124542124542,0.05679140048979218,43.35164835164835,0.3242900592399325,0.8835164835164835,1.9318681318681319
33,2.432558139534884,0.06433602335517352,0.5162790697674419,0.047589190394970234,43.8046511627907,0.3624781642634667,0.6162790697674418,1.8162790697674418
34,2.106699751861042,0.05954511915930272,0.3858560794044665,0.04314968900847297,43.98511166253102,0.39051244957419945,0.4491315136476427,1.6575682382133996
35,1.8075880758807588,0.053683316245510156,0.25971093044263777,0.03610067874717761,43.55555555555556,0.408763066511571,0.2953929539295393,1.5121951219512195
36,1.5894428152492668,0.045736077725550425,0.17008797653958943,0.028342592463122564,43.70674486803519,0.4399283513771093,0.1906158357771261,1.3988269794721409
37,1.4931972789115646,0.04461771852694755,0.1360544217687075,0.02705590165418888,43.99659863945578,0.4580190869880938,0.14965986394557823,1.3435374149659864
38,1.4047619047619047,0.04295610320478809,0.09126984126984126,0.02315089587483933,43.8968253968254,0.4936726930101584,0.10317460317460317,1.3015873015873016
39,1.3087557603686637,0.03981775025689083,0.055299539170506916,0.017488936308349773,43.94009216589862,0.5442569950834972,0.06451612903225806,1.2442396313364055
40,1.2486187845303867,0.0383083651154507,0.04696132596685083,0.01866544057509885,43.972375690607734,0.610348195323853,0.055248618784530384,1.1933701657458564
41,1.1898734177215189,0.032563483398343654,0.05063291139240506,0.01966720693993071,44.075949367088604,0.6674583351687824,0.05063291139240506,1.139240506329114
42,1.161764705882353,0.03336695728212768,0.04411764705882353,0.020525893787506147,44.18382352941177,0.7122643482093594,0.04411764705882353,1.1176470588235294
43,1.1379310344827587,0.03215533821518324,0.04310344827586207,0.01893823852572681,44.4051724137931,0.7609252680845698,0.04310344827586207,1.0948275862068966
44,1.0792079207920793,0.027006300390071007,0.019801980198019802,0.013931927999475532,44.08910891089109,0.8264320316581946,0.019801980198019802,1.0594059405940595
45,1.069767441860465,0.027632024455163006,0.023255813953488372,0.016347326124530402,44.372093023255815,0.8413146041162547,0.023255813953488372,1.0465116279069768
46,1.0454545454545454,0.025836298184491138,0.0,0.0,43.96969696969697,0.8658153511941764,0.0,1.0454545454545454
47,1.0350877192982457,0.024588241692166144,0.0,0.0,44.59649122807018,0.9240790474394199,0.0,1.0350877192982457
48,1.0416666666666667,0.02914766351555603,0.0,0.0,44.708333333333336,0.9368151556917759,0.0,1.0416666666666667
49,1.05,0.034899122022605644,0.0,0.0,45.125,1.010957593774465,0.0,1.05
50,1.027027027027027,0.027027027027027025,0.0,0.0,45.67567567567568,0.9734108123966838,0.0,1.027027027027027
51,1.0,0.0,0.0,0.0,44.827586206896555,0.8049553509590084,0.0,1.0
52,1.0,0.0,0.0,0.0,44.666666666666664,0.9163419338230352,0.0,1.0
53,1.0,0.0,0.0,0.0,45.294117647058826,1.1040190811249093,0.0,1.0
54,1.0,0.0,0.0,0.0,46.294117647058826,1.1040190811249093,0.0,1.0
55,1.0,0.0,0.0,0.0,47.0,1.2110601416389968,0.0,1.0
56,1.0,0.0,0.0,0.0,47.09090909090909,1.5400976678270377,0.0,1.0
57,1.0,0.0,0.0,0.0,46.25,1.4850444918779848,0.0,1.0
58,1.0,0.0,0.0,0.0,47.142857142857146,1.7103128567683779,0.0,1.0
59,1.0,0.0,0.0,0.0,47.666666666666664,1.9436506316151003,0.0,1.0
60,1.0,0.0,0.0,0.0,48.2,2.3108440016582685,0.0,1.0
61,1.0,0.0,0.0,0.0,50.0,2.798809270624444,0.0,1.0
62,1.0,0.0,0.0,0.0,51.0,2.798809270624444,0.0,1.0
63,1.0,0.0,0.0,0.0,51.333333333333336,3.8441875315569325,0.0,1.0
64,1.0,0.0,0.0,0.0,52.333333333333336,3.8441875315569325,0.0,1.0
65,1.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0
66,1.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0
67,1.0,0.0,0.0,0.0,52.0,0.0,0.0,1.0
68,1.0,0.0,0.0,0.0,53.0,0.0,0.0,1.0
69,1.0,0.0,0.0,0.0,54.0,0.0,0.0,1.0
70,1.0,0.0,0.0,0.0,55.0,0.0,0.0,1.0
